iter	Passed	Remaining
658	7070	3658
659	7077	3645
660	7084	3633
661	7091	3620
662	7098	3608
663	7105	3595
664	7112	3583
665	7120	3570
666	7127	3558
667	7135	3546
668	7142	3533
669	7149	3521
670	7156	3508
671	7162	3496
672	7170	3484
673	7177	3471
674	7184	3459
675	7191	3446
676	7198	3434
677	7205	3422
678	7212	3409
679	7219	3397
680	7226	3385
681	7233	3372
682	7240	3360
683	7247	3348
684	7254	3336
685	7263	3324
686	7271	3313
687	7278	3300
688	7285	3288
689	7292	3276
690	7299	3264
691	7306	3252
692	7313	3239
693	7320	3227
694	7327	3215
695	7334	3203
696	7342	3191
697	7348	3179
698	7356	3167
699	7363	3155
700	7369	3143
701	7377	3131
702	7384	3119
703	7391	3107
704	7398	3095
705	7405	3083
706	7412	3072
707	7420	3060
708	7427	3048
709	7434	3036
710	7441	3024
711	7448	3012
712	7455	3001
713	7465	2990
714	7476	2980
715	7486	2969
716	7495	2958
717	7509	2949
718	7516	2937
719	7523	2925
720	7530	2913
721	7537	2902
722	7544	2890
723	7551	2878
724	7558	2866
725	7566	2855
726	7573	2844
727	7580	2832
728	7587	2820
729	7594	2808
730	7601	2797
731	7608	2785
732	7626	2777
733	7633	2766
734	7640	2754
735	7647	2743
736	7654	2731
737	7660	2719
738	7667	2708
739	7675	2696
740	7681	2684
741	7688	2673
742	7695	2661
743	7702	2650
744	7708	2638
745	7715	2627
746	7723	2615
747	7729	2604
748	7736	2592
749	7743	2581
750	7750	2569
751	7756	2558
752	7763	2546
753	7770	2535
754	7777	2523
755	7784	2512
756	7791	2501
757	7798	2489
758	7805	2478
759	7812	2467
760	7819	2455
761	7826	2444
762	7833	2433
763	7840	2421
764	7847	2410
765	7854	2399
766	7861	2388
767	7868	2376
768	7875	2365
769	7883	2354
770	7891	2344
771	7899	2333
772	7906	2321
773	7913	2310
774	7920	2299
775	7927	2288
776	7935	2277
777	7942	2266
778	7949	2255
779	7956	2244
780	7963	2233
781	7970	2221
782	7977	2210
783	7984	2199
784	7991	2188
785	7998	2177
786	8005	2166
787	8012	2155
788	8020	2144
789	8027	2133
790	8033	2122
791	8040	2111
792	8047	2100
793	8054	2089
794	8061	2078
795	8068	2067
796	8075	2056
797	8082	2046
798	8089	2035
